x1 = 0,282571031647431
x2 = 0,20747292848594728
x3 = 0,10626211359387236
x4 = 0,05508497026102549
x5 = 0,03899772323117452
x6 = 0,027234641586775507
x7 = 0,019700517494515287
x8 = 0,015420632930758982
x9 = 0,012189487967336588
x10 = 0,00987790154445385
x11 = 0,00818927686802249
x12 = 0,006878076398963644
x13 = 0,0058684945340055535
x14 = 0,005065078184055967
x15 = 0,004406451915874586
x16 = 0,003881209593996607
x17 = 0,003439416960531805
x18 = 0,0030651994617201255
x19 = 0,0027553790609793957
x20 = 0,002487152664488468
x21 = 0,0022562174851901637
x22 = 0,0020567208477062253
x23 = 0,0018818174878085672
x24 = 0,0017287272357746257
x25 = 0,001593572269230383
x26 = 0,0014730930226836882
x27 = 0,0013666148033738728
x28 = 0,0012709194205720842
x29 = 0,0011845558093861255
x30 = 0,0011073942810778921
x31 = 0,0010371877975311303
x32 = 0,0009734409941566918
